id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,b1_PDI_rate,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-10,Female,32,1,0,1.0,Bachelor,0,2.3,0.0,6,0.5,125,15,104,138.74,30,1860.0,138.74,0,8.55,627,56,Analyst,Operations,Sao Paulo,0.65,5,5.21,5,3,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,3,5,4,5,5,4,5,4,4,5,5,5,4,5,5,2,5,5,Dissatisfaction,5.0,1
EMP-11,Male,39,1,0,20.0,No Degree,0,9.5,0.0,6,0.5,125,15,104,394.33,138,2575.0,1221.57,0,12.03,420,48,Specialist,Legal,Remote,0.71,4,4.25,4,4,3,4,2,4,4,5,3,2,4,3,3,5,5,4,4,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,4,3,4,Better Offer,4.0,1
EMP-12,Female,31,2,1,2.0,Bachelor,0,6.1,0.0,7,1.0,250,30,213,254.71,77,4650.0,2208.34,0,11.39,640,-2,Specialist,Marketing,Belo Horizonte,0.85,9,8.65,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Retirement,5.0,1
EMP-13,Male,47,1,1,4.0,High School,0,7.3,0.0,8,1.0,250,30,212,0.0,4,2550.0,0.0,0,12.95,618,40,Assistant,IT,Remote,0.39,8,7.98,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-14,Female,39,1,1,2.0,PhD,0,6.6,0.0,6,1.0,250,30,214,920.85,33,6050.0,920.85,0,10.31,644,37,Assistant,Operations,Rio de Janeiro,0.79,7,7.71,5,8,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Retirement,5.0,1
EMP-15,Female,36,3,2,5.0,Master,0,41.9,0.0,1,1.0,250,30,219,486.37,61,5080.0,1683.73,0,10.49,442,106,Analyst,IT,Rio de Janeiro,0.63,7,7.63,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,None,,0
EMP-16,Female,29,1,1,11.0,High School,1,1.5,0.0,2,1.0,250,30,218,477.7,36,3010.0,477.7,0,11.32,416,46,Analyst,IT,Rio de Janeiro,0.67,7,7.68,4,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-17,Female,39,1,1,5.0,High School,0,5.3,0.0,5,1.0,250,30,215,571.21,252,7430.0,2893.55,0,11.27,616,-80,Specialist,IT,Sao Paulo,0.89,8,8.29,5,7,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-18,Female,39,2,1,0.0,High School,0,2.9,0.0,0,1.0,250,30,220,0.0,7,2530.0,0.0,0,11.15,557,78,Analyst,IT,Curitiba,0.56,6,6.47,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,4,Better Offer,5.0,1
EMP-19,Female,18,0,0,,High School,0,10.7,0.0,5,1.0,250,30,215,0.0,0,2180.0,0.0,0,8.23,400,51,Specialist,Operations,Rio de Janeiro,0.95,3,3.64,3,4,3,5,3,4,5,3,4,5,3,4,3,3,3,3,4,2,3,4,4,3,5,5,4,2,4,2,5,5,5,4,3,3,3,Dissatisfaction,2.0,1
EMP-20,Female,40,2,1,3.0,High School,1,6.6,0.0,5,1.0,250,30,215,485.14,47,3340.0,485.14,0,7.43,478,94,Analyst,Finance,Belo Horizonte,0.61,4,4.92,5,4,3,4,4,4,5,5,3,5,4,4,5,4,5,5,4,5,3,5,3,5,4,3,4,4,5,5,4,5,3,5,5,5,4,Better Offer,2.0,1
EMP-21,Female,34,1,1,8.0,Master,0,20.6,0.0,7,1.0,250,30,213,0.0,4,3920.0,0.0,0,13.23,601,13,Analyst,Sales,Rio de Janeiro,0.74,6,6.31,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Stress,3.0,1
EMP-22,Female,46,3,1,20.0,PhD,0,4.1,0.0,2,1.0,250,30,218,884.78,48,6420.0,884.78,0,11.8,380,18,Specialist,Operations,Rio de Janeiro,0.88,7,7.06,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-23,Male,63,2,0,33.0,Bachelor,0,22.0,0.054245512522712216,7,1.0,250,30,213,0.0,1,3450.0,0.0,0,12.37,584,-25,Analyst,Operations,Rio de Janeiro,0.4,8,8.41,5,7,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Stress,5.0,1
EMP-24,Female,35,0,0,,High School,0,0.7,0.0,3,1.0,250,30,217,0.0,8,2510.0,0.0,0,10.92,588,-58,Manager,HR,Remote,0.55,6,6.26,5,8,4,5,4,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,None,,0
EMP-25,Female,41,1,1,11.0,Bachelor,0,36.2,0.0,7,1.0,250,30,213,0.0,6,3330.0,0.0,0,11.04,618,46,Specialist,Operations,Rio de Janeiro,0.73,7,7.53,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,None,,0
EMP-26,Male,34,2,1,16.0,Master,0,3.0,0.0,4,1.0,250,30,216,830.62,192,7680.0,4429.82,0,7.23,512,71,Director,Sales,Sao Paulo,0.92,5,5.48,5,5,5,4,3,3,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,5,4,5,5,4,5,None,,0
EMP-27,Female,25,0,0,,High School,0,16.2,0.0,3,1.0,250,30,217,116.45,80,3850.0,1885.9,0,7.92,572,-13,Intern,Sales,Remote,0.83,9,9.15,5,8,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-28,Male,31,1,1,2.0,Bachelor,0,1.4,0.0,7,0.75,187,22,158,148.11,138,4402.5,838.62,0,10.14,591,10,Director,Operations,Rio de Janeiro,0.77,5,6.17,5,7,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,4,Better Offer,4.0,1
EMP-29,Female,26,2,2,2.0,No Degree,0,12.9,0.0,7,1.0,250,30,213,264.42,36,2980.0,264.42,0,8.08,387,106,Assistant,Finance,Curitiba,0.64,9,8.99,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-30,Female,37,2,1,18.0,Bachelor,0,1.1,0.0,6,1.0,250,30,214,1264.06,228,7730.0,1933.27,0,13.48,498,0,Manager,Finance,Curitiba,0.54,9,8.7,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-31,Female,33,3,2,1.0,High School,0,9.4,0.0,5,0.75,187,22,160,643.49,103,3292.5,1296.5,0,8.89,612,-3,Assistant,Legal,Remote,0.83,8,8.46,4,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-32,Female,39,3,1,12.0,High School,0,5.9,0.0,4,1.0,250,30,216,0.0,1,2410.0,0.0,0,13.74,400,120,Specialist,Sales,Sao Paulo,0.8,7,7.41,5,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-33,Female,26,3,2,0.0,High School,0,2.9,0.0,4,0.5,125,15,106,34.21,20,1330.0,34.21,0,8.69,702,20,Analyst,Operations,Remote,0.82,7,7.31,5,7,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,None,,0
EMP-34,Male,24,0,0,,High School,0,7.3,0.0,4,0.5,125,15,106,183.96,72,1840.0,561.59,0,13.32,661,-20,Intern,Operations,Curitiba,0.92,8,7.91,5,7,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,None,,0
EMP-35,Male,27,2,1,5.0,High School,0,2.2,0.0,5,1.0,250,30,215,53.45,86,3990.0,1536.09,0,10.92,571,68,Analyst,IT,Remote,0.83,7,7.37,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Retirement,5.0,1
EMP-36,Female,31,4,2,11.0,High School,0,16.0,0.0,6,1.0,250,30,214,214.61,29,2890.0,214.61,0,8.44,516,17,Assistant,Legal,Rio de Janeiro,0.74,6,6.24,4,8,5,5,4,4,5,5,5,4,5,4,5,5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,Retirement,4.0,1
EMP-37,Female,29,0,0,,Bachelor,0,40.3,0.0,6,0.5,125,15,104,74.66,35,1895.0,74.66,0,10.04,456,-60,Manager,HR,Remote,0.94,7,7.7,4,9,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-38,Male,54,0,0,,High School,0,15.4,0.0,13,0.5,125,15,97,0.0,0,1270.0,0.0,0,13.11,484,-4,Assistant,Marketing,Sao Paulo,0.68,7,7.48,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-39,Male,41,1,0,6.0,High School,0,18.6,0.0,5,1.0,250,30,215,237.6,13,2670.0,237.6,0,11.82,528,107,Assistant,IT,Curitiba,0.83,6,6.77,5,6,5,3,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,Better Offer,4.0,1
EMP-40,Female,51,1,0,28.0,High School,0,2.4,0.0,9,1.0,250,30,211,732.7,25,3010.0,732.7,0,13.03,539,52,Manager,IT,Rio de Janeiro,0.6,6,6.8,4,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,None,,0
EMP-41,Male,48,1,1,2.0,No Degree,0,1.2,0.0,2,1.0,250,30,218,471.24,91,4300.0,1787.34,0,13.93,604,2,Manager,Finance,Rio de Janeiro,0.86,9,9.04,5,8,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-42,Male,40,1,1,15.0,Master,0,15.5,0.0,4,1.0,250,30,216,389.8,13,4160.0,389.8,0,7.44,448,10,Intern,IT,Rio de Janeiro,0.49,6,6.82,5,7,5,5,4,5,5,5,5,3,5,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,None,,0
EMP-43,Female,29,1,0,10.0,Bachelor,0,10.3,0.0,6,1.0,250,30,214,761.63,13,3350.0,761.63,0,8.3,409,-15,Analyst,HR,Remote,0.91,9,9.23,5,10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-44,Male,23,0,0,,Master,0,16.7,0.0,7,1.0,250,30,213,498.45,60,4930.0,498.45,0,10.98,384,50,Specialist,Marketing,Rio de Janeiro,0.92,6,6.83,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,5,4,5,None,,0
EMP-45,Female,55,3,0,24.0,Bachelor,0,9.3,0.0,7,1.0,250,30,213,410.51,55,4450.0,410.51,0,13.11,474,114,Specialist,HR,Sao Paulo,0.6,7,7.24,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5,5,None,,0
EMP-46,Male,57,1,0,17.0,High School,0,3.6,0.10617755210724497,10,1.0,250,30,210,896.55,111,4790.0,1552.72,0,7.67,348,-23,Assistant,Legal,Remote,0.91,5,5.54,5,7,5,3,5,5,5,4,5,5,5,5,4,5,5,3,4,5,5,5,5,3,5,3,5,5,5,4,5,5,5,5,5,4,5,None,,0
EMP-47,Female,26,0,0,,High School,0,5.6,0.0,2,0.5,125,15,108,227.8,96,2090.0,842.95,0,7.35,508,-5,Specialist,Marketing,Belo Horizonte,0.59,5,5.14,4,5,4,5,5,5,5,4,5,5,5,4,4,4,4,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,4,4,5,4,5,Better Offer,2.0,1
EMP-48,Male,25,0,0,,High School,0,2.5,0.0,4,0.5,125,15,106,124.98,62,1745.0,1096.62,0,9.46,504,100,Manager,Legal,Rio de Janeiro,0.78,5,4.97,5,5,3,4,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,3,5,5,4,5,4,5,3,4,5,5,5,4,3,4,Better Offer,4.0,1
EMP-49,Male,48,1,0,27.0,High School,0,2.1,0.0,5,1.0,250,30,215,42.58,27,3020.0,42.58,0,11.07,584,-20,Analyst,Marketing,Rio de Janeiro,0.43,8,8.66,5,10,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-50,Female,45,3,3,27.0,Bachelor,0,3.9,0.0,4,1.0,250,30,216,408.31,40,4050.0,408.31,0,10.32,546,39,Specialist,Finance,Rio de Janeiro,0.79,6,6.68,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,4,5,None,,0
EMP-51,Female,39,1,1,6.0,Bachelor,0,12.3,0.0,3,1.0,250,30,217,163.33,121,5610.0,1736.02,0,11.15,473,5,Assistant,Finance,Sao Paulo,0.55,9,9.09,5,10,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-52,Female,46,1,1,22.0,Bachelor,0,0.8,0.0,2,1.0,250,30,218,955.71,108,5420.0,2681.39,0,10.32,557,72,Intern,IT,Rio de Janeiro,0.82,9,8.93,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-53,Male,41,0,0,,Bachelor,0,7.0,0.0,6,0.75,187,22,159,917.17,78,3577.5,554.83,0,13.64,636,-38,Specialist,Legal,Rio de Janeiro,0.39,6,6.46,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-54,Female,27,1,1,7.0,High School,0,3.1,0.0,4,0.75,187,22,161,45.98,48,2422.5,45.98,0,12.68,606,50,Director,Legal,Sao Paulo,0.76,6,7.1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,Dissatisfaction,5.0,1
EMP-55,Male,42,1,0,6.0,No Degree,0,9.6,0.0,4,1.0,250,30,216,193.08,140,5220.0,1203.38,0,8.62,419,-32,Analyst,Finance,Curitiba,0.85,8,9.0,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-56,Male,41,0,0,,No Degree,0,1.8,0.0,6,1.0,250,30,214,156.09,223,6870.0,1337.76,0,12.74,461,-29,Specialist,HR,Sao Paulo,0.64,9,9.11,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-57,Male,32,1,0,3.0,PhD,0,20.2,0.0,2,1.0,250,30,218,0.0,6,5440.0,0.0,0,8.64,447,71,Assistant,Operations,Remote,0.85,4,5.09,5,2,4,4,4,3,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,3,4,4,4,5,5,4,5,5,5,4,Dissatisfaction,5.0,1
EMP-58,Male,47,1,0,1.0,Bachelor,0,21.3,0.0,5,1.0,250,30,215,1163.08,238,8030.0,4441.57,0,11.18,455,79,Analyst,HR,Remote,0.82,8,7.99,5,7,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-59,Female,36,0,0,,High School,0,52.1,0.0,6,1.0,250,30,214,157.35,14,2640.0,157.35,0,13.9,565,42,Specialist,Sales,Curitiba,0.82,8,9.01,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-60,Male,49,2,1,26.0,Bachelor,0,6.8,0.0,4,1.0,250,30,216,591.62,105,5390.0,987.35,0,8.35,507,-24,Assistant,IT,Sao Paulo,0.99,7,7.47,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,None,,0
EMP-61,Male,31,1,1,13.0,Master,0,31.4,0.0,6,0.75,187,22,159,292.86,156,5197.5,1451.16,0,8.62,345,29,Specialist,Marketing,Belo Horizonte,0.65,8,8.46,5,7,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-62,Female,22,0,0,,Bachelor,0,6.4,0.0,4,1.0,250,30,216,147.7,23,3480.0,147.7,0,7.24,631,8,Assistant,Sales,Rio de Janeiro,0.49,9,9.13,5,10,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-63,Female,34,1,0,16.0,Bachelor,0,6.5,0.0,6,0.5,125,15,104,319.27,95,2520.0,884.99,0,10.59,508,6,Assistant,Operations,Rio de Janeiro,0.42,4,4.57,4,5,3,4,3,2,4,4,3,3,3,4,5,5,5,5,4,3,4,3,4,5,5,4,3,4,4,5,4,4,4,4,5,3,4,Better Offer,4.0,1
EMP-64,Male,35,2,0,6.0,Bachelor,0,50.8,0.0,6,0.5,125,15,104,330.17,171,3285.0,962.12,0,12.96,435,28,Assistant,Marketing,Curitiba,0.89,3,3.86,3,4,3,2,4,1,5,4,4,5,4,5,4,3,4,2,3,4,4,3,3,2,3,5,4,5,3,3,3,4,2,3,3,3,2,Dissatisfaction,3.0,1
EMP-65,Female,39,0,0,,Master,0,1.7,0.0,3,1.0,250,30,217,514.65,111,6110.0,2262.55,0,8.52,363,-45,Intern,Finance,Rio de Janeiro,0.35,4,4.63,2,3,4,3,5,4,3,5,4,4,4,4,5,4,4,3,4,5,5,4,4,2,5,3,3,4,3,4,5,5,5,4,4,3,4,Dissatisfaction,3.0,1
EMP-66,Female,23,0,0,,Bachelor,0,36.4,0.0,4,1.0,250,30,216,0.0,2,3070.0,0.0,0,10.49,499,-32,Specialist,Sales,Belo Horizonte,0.87,5,5.63,2,4,5,5,4,5,5,4,5,4,4,4,4,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,Dissatisfaction,4.0,1
EMP-67,Male,38,1,0,12.0,Bachelor,0,26.8,0.0,1,0.75,187,22,164,0.0,3,2430.0,0.0,0,12.01,378,75,Manager,HR,Sao Paulo,0.69,6,7.23,5,7,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,Personal,5.0,1
EMP-68,Female,42,2,1,14.0,Bachelor,0,4.5,0.0,2,1.0,250,30,218,262.39,14,3500.0,262.39,0,13.27,423,-73,Assistant,HR,Sao Paulo,0.48,8,8.22,4,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-69,Female,35,2,2,16.0,High School,0,15.9,0.0,6,0.75,187,22,159,128.48,169,4297.5,1879.83,0,13.55,581,27,Analyst,IT,Curitiba,0.84,6,6.58,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,None,,0
