id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-15,Male,53,2,1,31.0,Bachelor,0,15.7,0.0,8,0.5,125,15,102,0.0,10,1765.0,0.0,0,12.75,597,76,Analyst,Legal,Rio de Janeiro,6,6.67,4,5,3,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-16,Male,31,2,2,1.0,Bachelor,0,18.2,0.0,6,1.0,250,30,214,1373.83,156,6230.0,1576.64,1,9.5,509,51,Assistant,HR,Sao Paulo,5,5.93,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,4,5,4,5,5,5,5,5,3,4,None,,0
EMP-17,Female,21,0,0,,Bachelor,0,4.2,0.0,6,1.0,250,30,214,199.29,14,3290.0,199.29,0,10.12,276,31,Specialist,Operations,Rio de Janeiro,5,5.59,3,6,5,5,3,4,5,5,3,4,5,4,5,4,5,5,4,4,5,4,5,3,5,5,5,5,5,5,5,4,5,4,4,4,5,Better Offer,2.0,1
EMP-18,Male,38,1,1,5.0,High School,0,11.0,0.0,5,1.0,250,30,215,182.95,22,2820.0,182.95,0,13.61,496,120,Manager,Legal,Rio de Janeiro,8,8.52,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-19,Female,60,2,0,11.0,High School,0,0.7,0.13638790922855656,8,0.75,187,22,157,214.26,16,2190.0,214.26,0,10.73,527,-21,Manager,HR,Sao Paulo,7,7.31,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-20,Female,36,0,0,,Bachelor,0,6.5,0.0,5,1.0,250,30,215,133.48,47,4100.0,133.48,0,13.94,556,101,Analyst,Operations,Sao Paulo,8,8.65,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-21,Female,34,2,2,3.0,High School,0,1.2,0.0,8,1.0,250,30,212,341.58,26,2860.0,341.58,0,13.08,616,48,Specialist,IT,Sao Paulo,7,7.71,5,8,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-22,Female,30,0,0,,High School,0,3.5,0.0,7,1.0,250,30,213,376.43,113,4560.0,896.1,0,12.84,380,45,Analyst,Sales,Sao Paulo,8,8.47,5,10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,None,,0
EMP-23,Male,18,0,0,,High School,0,8.8,0.0,3,1.0,250,30,217,0.0,0,2180.0,0.0,0,8.82,524,68,Specialist,Sales,Sao Paulo,6,7.26,5,7,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-24,Female,20,0,0,,Master,0,6.4,0.0,1,1.0,250,30,219,336.25,24,4180.0,336.25,0,10.89,571,92,Analyst,IT,Sao Paulo,9,9.11,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-25,Male,33,0,0,,Bachelor,0,16.0,0.0,4,1.0,250,30,216,422.94,27,3670.0,422.94,0,8.42,587,37,Analyst,Finance,Sao Paulo,7,6.85,5,7,5,4,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-26,Female,38,1,1,13.0,Bachelor,1,2.4,0.0,5,0.75,187,22,160,263.91,17,2640.0,263.91,0,10.66,455,5,Manager,IT,Rio de Janeiro,7,7.13,5,6,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,Better Offer,5.0,1
EMP-27,Male,47,1,0,17.0,High School,0,17.0,0.0,5,1.0,250,30,215,255.57,94,4350.0,872.52,0,13.77,524,33,Manager,Marketing,Sao Paulo,6,6.86,5,8,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-28,Female,32,1,1,14.0,High School,0,2.8,0.0,6,1.0,250,30,214,295.08,66,3640.0,1126.95,0,12.63,474,-26,Assistant,Sales,Rio de Janeiro,8,8.87,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-29,Male,45,2,1,8.0,Bachelor,0,3.8,0.0,3,0.75,187,22,162,0.0,4,2497.5,0.0,0,8.94,359,15,Manager,Marketing,Rio de Janeiro,8,8.31,5,9,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-30,Female,40,2,1,1.0,Bachelor,0,6.7,0.0,7,1.0,250,30,213,296.59,26,3720.0,296.59,0,11.04,479,-77,Manager,IT,Sao Paulo,8,8.09,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-31,Male,33,3,2,13.0,High School,0,0.8,0.0,7,1.0,250,30,213,86.57,24,2810.0,86.57,0,9.43,392,31,Specialist,Legal,Curitiba,7,8.05,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,None,,0
EMP-32,Male,41,3,0,7.0,Master,0,6.5,0.0,3,1.0,250,30,217,743.37,112,6150.0,2172.29,0,8.47,446,-6,Analyst,IT,Sao Paulo,8,8.4,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-33,Female,51,2,0,23.0,High School,0,6.1,0.0,8,0.75,187,22,157,0.0,7,1987.5,0.0,0,12.48,569,99,Assistant,HR,Rio de Janeiro,7,7.55,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,None,,0
EMP-34,Female,52,3,0,7.0,Bachelor,0,2.2,0.0,7,1.0,250,30,213,980.41,22,3760.0,980.41,0,7.87,386,9,Specialist,IT,Remote,3,3.17,4,3,3,5,3,2,3,3,3,4,5,3,3,3,3,2,3,5,3,4,3,5,5,4,5,4,4,5,4,2,4,3,3,4,4,Better Offer,2.0,1
EMP-35,Other,55,1,0,10.0,PhD,0,3.8,0.0,8,1.0,250,30,212,314.27,27,6090.0,314.27,0,11.95,316,-34,Intern,Finance,Belo Horizonte,6,6.87,5,7,5,5,5,4,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-36,Female,35,5,3,10.0,No Degree,0,29.6,0.0,4,1.0,250,30,216,0.0,11,2570.0,0.0,0,8.08,506,194,Specialist,Finance,Sao Paulo,4,4.95,5,4,5,5,5,5,4,5,3,5,3,4,4,3,4,5,4,3,5,5,5,4,5,5,4,5,4,4,2,5,3,4,4,4,5,Retirement,3.0,1
EMP-37,Female,47,2,0,22.0,No Degree,0,19.2,0.0,4,1.0,250,30,216,38.19,160,5670.0,1964.51,0,11.48,403,94,Manager,Operations,Sao Paulo,6,6.47,5,7,5,5,4,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,4,4,None,,0
EMP-38,Female,18,0,0,,High School,0,6.9,0.0,3,1.0,250,30,217,0.0,0,2180.0,0.0,0,13.79,348,2,Manager,Finance,Belo Horizonte,9,8.89,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-39,Female,41,2,0,8.0,PhD,0,5.9,0.0,6,1.0,250,30,214,185.11,43,6270.0,185.11,0,11.23,371,15,Analyst,Sales,Rio de Janeiro,7,7.39,5,10,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,None,,0
EMP-40,Male,48,0,0,,Master,0,12.3,0.0,1,1.0,250,30,219,239.22,26,4500.0,239.22,0,11.16,352,-36,Assistant,Legal,Curitiba,7,7.06,5,8,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Better Offer,5.0,1
EMP-41,Female,39,1,1,3.0,Master,0,8.7,0.0,5,1.0,250,30,215,432.95,48,4850.0,432.95,0,8.62,563,5,Analyst,Marketing,Rio de Janeiro,7,7.62,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,None,,0
EMP-42,Male,47,1,1,23.0,Bachelor,0,6.5,0.0,2,1.0,250,30,218,205.87,29,3850.0,205.87,0,11.82,388,34,Assistant,IT,Curitiba,9,9.06,5,9,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-43,Female,39,2,2,19.0,High School,0,4.1,0.0,8,1.0,250,30,212,632.17,58,3550.0,632.17,0,12.01,415,-12,Specialist,Marketing,Sao Paulo,8,8.41,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-44,Female,35,1,1,5.0,High School,1,15.7,0.0,4,0.75,187,22,161,193.83,23,2107.5,193.83,0,9.19,440,-40,Analyst,Operations,Remote,8,8.16,5,9,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-45,Male,38,2,1,0.0,Bachelor,0,4.3,0.0,7,1.0,250,30,213,840.67,109,5360.0,1882.44,1,13.18,386,51,Assistant,Legal,Rio de Janeiro,8,8.84,5,10,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-46,Female,36,2,1,12.0,High School,0,2.5,0.0,1,1.0,250,30,219,1314.26,216,6680.0,2912.04,0,12.6,629,38,Specialist,Operations,Remote,5,5.82,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,3,5,5,4,5,5,5,5,5,5,Dissatisfaction,4.0,1
EMP-47,Male,28,6,3,6.0,Bachelor,0,23.8,0.0,1,1.0,250,30,219,153.08,54,4160.0,153.08,0,10.57,522,-12,Analyst,IT,Curitiba,7,7.02,5,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-48,Male,57,1,0,18.0,High School,0,4.6,0.07630993073207304,5,1.0,250,30,215,0.0,4,2650.0,0.0,0,8.05,494,44,Specialist,HR,Sao Paulo,5,5.31,5,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,4,5,5,3,4,5,4,5,None,,0
EMP-49,Male,18,0,0,,High School,0,6.0,0.0,5,1.0,250,30,215,0.0,0,2180.0,0.0,0,13.04,435,41,Assistant,Legal,Rio de Janeiro,6,6.73,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,None,,0
EMP-50,Female,30,2,1,2.0,High School,0,3.4,0.0,5,1.0,250,30,215,693.22,30,2900.0,693.22,0,9.77,462,2,Assistant,Operations,Sao Paulo,7,6.93,4,7,5,5,5,4,3,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-51,Male,36,1,1,9.0,Bachelor,0,1.9,0.0,3,1.0,250,30,217,347.27,22,3600.0,347.27,0,7.7,386,37,Analyst,Finance,Curitiba,6,6.92,5,9,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,Better Offer,5.0,1
EMP-52,Male,38,2,2,17.0,High School,0,17.6,0.0,6,1.0,250,30,214,66.0,29,2960.0,66.0,0,11.71,462,79,Analyst,Operations,Rio de Janeiro,7,7.14,3,8,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,Personal,5.0,1
EMP-53,Male,22,0,0,,High School,0,40.2,0.0,11,0.75,187,22,154,186.39,48,2385.0,186.39,0,7.89,537,35,Analyst,Operations,Belo Horizonte,7,7.03,4,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,Better Offer,5.0,1
EMP-54,Male,37,4,3,14.0,High School,0,9.7,0.0,6,1.0,250,30,214,220.0,117,4710.0,1498.16,0,10.44,436,55,Analyst,HR,Rio de Janeiro,5,5.53,4,7,5,4,5,5,5,5,5,5,3,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,3,4,5,3,5,5,Better Offer,3.0,1
EMP-55,Female,36,1,0,5.0,Bachelor,0,21.3,0.0,2,1.0,250,30,218,156.11,78,4720.0,2126.52,0,11.89,423,6,Analyst,Finance,Sao Paulo,9,8.91,5,9,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-56,Male,42,1,1,1.0,Master,0,1.6,0.0,6,0.5,125,15,104,577.54,92,2880.0,1415.21,0,8.42,419,-6,Specialist,Marketing,Remote,6,6.53,5,7,5,5,4,5,5,5,5,3,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,Better Offer,5.0,1
EMP-57,Female,52,2,0,13.0,Master,0,10.2,0.0,9,0.75,187,22,156,423.8,30,3465.0,423.8,0,13.98,610,39,Specialist,Operations,Sao Paulo,5,5.72,5,7,5,4,5,3,4,5,4,5,5,5,5,5,4,4,4,4,5,4,5,4,5,4,5,5,4,5,4,5,5,5,5,4,4,Better Offer,4.0,1
EMP-58,Male,34,1,1,16.0,High School,0,1.9,0.0,5,1.0,250,30,215,421.08,17,2680.0,421.08,0,8.27,382,-5,Specialist,Marketing,Rio de Janeiro,8,8.85,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-59,Female,24,0,0,,Bachelor,0,10.5,0.0,5,1.0,250,30,215,208.14,33,3700.0,208.14,0,12.92,349,-37,Analyst,Legal,Sao Paulo,6,6.75,5,7,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,None,,0
EMP-60,Female,36,2,1,16.0,High School,0,2.5,0.0,3,1.0,250,30,217,92.84,56,3480.0,92.84,0,13.38,534,29,Analyst,HR,Rio de Janeiro,4,4.19,4,2,5,3,4,4,4,3,5,5,4,5,4,3,5,3,4,4,5,5,3,4,4,4,5,3,4,5,5,4,4,4,5,4,3,Personal,3.0,1
EMP-61,Female,33,1,0,9.0,Master,0,7.7,0.0,3,1.0,250,30,217,287.57,66,5150.0,1734.94,0,13.68,511,25,Analyst,Operations,Rio de Janeiro,5,5.33,4,7,3,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,4,4,5,5,5,5,5,4,4,4,3,5,3,5,4,4,4,Dissatisfaction,4.0,1
EMP-62,Male,26,1,1,6.0,High School,1,16.4,0.0,6,1.0,250,30,214,306.44,79,3840.0,1568.37,0,13.47,554,32,Manager,Operations,Sao Paulo,8,9.41,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-63,Male,35,2,0,14.0,Master,0,13.4,0.0,7,1.0,250,30,213,538.93,17,4190.0,538.93,0,12.68,420,-75,Assistant,Finance,Remote,7,7.68,5,8,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,None,,0
EMP-64,Female,45,1,0,13.0,High School,0,20.2,0.0,6,1.0,250,30,214,0.0,7,2590.0,0.0,0,12.93,445,6,Analyst,Legal,Belo Horizonte,5,5.2,5,6,3,5,5,5,5,4,5,5,3,5,5,5,4,4,5,5,5,5,5,4,5,4,3,3,4,5,4,4,5,4,5,5,5,Better Offer,3.0,1
EMP-65,Male,46,3,1,25.0,No Degree,0,24.1,0.0,4,1.0,250,30,216,0.0,3,2520.0,0.0,0,12.25,380,79,Analyst,HR,Rio de Janeiro,6,7.34,4,7,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,4,5,5,5,Better Offer,5.0,1
EMP-66,Female,41,0,0,,Bachelor,0,9.2,0.0,7,1.0,250,30,213,119.0,51,4230.0,119.0,0,8.29,612,11,Analyst,HR,Remote,9,9.33,5,9,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-67,Male,35,0,0,,High School,0,96.6,0.0,4,1.0,250,30,216,400.9,154,5430.0,2638.87,0,11.1,511,16,Analyst,Operations,Sao Paulo,7,7.21,5,7,5,3,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-68,Female,47,0,0,,High School,0,6.7,0.0,3,0.5,125,15,107,44.16,19,1425.0,44.16,0,10.34,593,64,Assistant,HR,Rio de Janeiro,6,6.56,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-69,Male,41,1,1,23.0,High School,0,26.1,0.0,3,0.75,187,22,162,84.07,95,3232.5,887.92,0,10.15,535,30,Specialist,Sales,Rio de Janeiro,7,7.56,5,9,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-70,Male,28,0,0,,High School,0,3.3,0.0,6,1.0,250,30,214,301.96,14,2560.0,301.96,0,12.91,639,-32,Specialist,Finance,Rio de Janeiro,6,5.92,5,5,5,5,5,5,3,4,5,3,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,None,,0
EMP-71,Male,46,1,0,18.0,High School,0,20.0,0.0,2,1.0,250,30,218,0.0,8,2620.0,0.0,0,10.7,564,-28,Manager,Marketing,Sao Paulo,6,6.57,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,None,,0
